checkpoint,name,iteration,device,vs_random_avg_profit,vs_random_completed_games,vs_random_invalid_state_games,vs_random_invalid_state_count,vs_random_non_zero_sum_games,vs_random_setup_errors,vs_random_requested_games,vs_random_sanitized_actions,vs_random_agent_actions,vs_random_agent_fold_actions,vs_random_agent_check_call_actions,vs_random_agent_raise_actions,vs_random_agent_fold_rate,vs_random_agent_check_call_rate,vs_random_agent_raise_rate,vs_random_agent_preflop_actions,vs_random_agent_preflop_folds,vs_random_agent_preflop_fold_rate,vs_checkpoint_pool_avg_profit,vs_checkpoint_pool_completed_games,vs_checkpoint_pool_invalid_state_games,vs_checkpoint_pool_invalid_state_count,vs_checkpoint_pool_non_zero_sum_games,vs_checkpoint_pool_setup_errors,vs_checkpoint_pool_requested_games,vs_checkpoint_pool_sanitized_actions,vs_checkpoint_pool_agent_actions,vs_checkpoint_pool_agent_fold_actions,vs_checkpoint_pool_agent_check_call_actions,vs_checkpoint_pool_agent_raise_actions,vs_checkpoint_pool_agent_fold_rate,vs_checkpoint_pool_agent_check_call_rate,vs_checkpoint_pool_agent_raise_rate,vs_checkpoint_pool_agent_preflop_actions,vs_checkpoint_pool_agent_preflop_folds,vs_checkpoint_pool_agent_preflop_fold_rate
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32100.pt,*checkpoint_iter_mixed_iter_32100.pt,32100,cpu,-4.402899498754852,100,0,0,0,0,100,0,133,94,19,20,0.706766917293233,0.14285714285714285,0.15037593984962405,117,89,0.7606837606837606,-5.920205867667878,100,0,0,0,0,100,0,135,99,18,18,0.7333333333333333,0.13333333333333333,0.13333333333333333,129,95,0.7364341085271318
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32200.pt,*checkpoint_iter_mixed_iter_32200.pt,32200,cpu,-4.620143743427783,100,0,0,0,0,100,0,128,93,15,20,0.7265625,0.1171875,0.15625,114,88,0.7719298245614035,2.380293430652261,100,0,0,0,0,100,0,126,94,18,14,0.746031746031746,0.14285714285714285,0.1111111111111111,120,92,0.7666666666666667
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32300.pt,*checkpoint_iter_mixed_iter_32300.pt,32300,cpu,-6.360063720026793,100,0,0,0,0,100,0,163,88,39,36,0.5398773006134969,0.2392638036809816,0.22085889570552147,134,78,0.582089552238806,-3.3615024651216188,100,0,0,0,0,100,0,145,96,31,18,0.6620689655172414,0.21379310344827587,0.12413793103448276,135,90,0.6666666666666666
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32400.pt,*checkpoint_iter_mixed_iter_32400.pt,32400,cpu,-8.626080774143315,100,0,0,0,0,100,0,181,86,43,52,0.47513812154696133,0.23756906077348067,0.287292817679558,151,71,0.47019867549668876,-3.999875295090281,100,0,0,0,0,100,0,174,89,55,30,0.5114942528735632,0.3160919540229885,0.1724137931034483,159,80,0.5031446540880503
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32500.pt,*checkpoint_iter_mixed_iter_32500.pt,32500,cpu,-15.059023251044302,100,0,0,0,0,100,0,178,84,48,46,0.47191011235955055,0.2696629213483146,0.25842696629213485,150,72,0.48,9.598753939850274,100,0,0,0,0,100,0,178,81,52,45,0.4550561797752809,0.29213483146067415,0.25280898876404495,161,75,0.4658385093167702
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32600.pt,*checkpoint_iter_mixed_iter_32600.pt,32600,cpu,-18.031413641775213,100,0,0,0,0,100,0,199,78,69,52,0.39195979899497485,0.34673366834170855,0.2613065326633166,148,63,0.42567567567567566,1.5883194461241243,100,0,0,0,0,100,0,190,82,65,43,0.43157894736842106,0.34210526315789475,0.22631578947368422,168,72,0.42857142857142855
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32700.pt,*checkpoint_iter_mixed_iter_32700.pt,32700,cpu,-5.07004099047314,100,0,0,0,0,100,0,184,82,60,42,0.44565217391304346,0.32608695652173914,0.22826086956521738,151,74,0.4900662251655629,34.87200344378007,100,0,0,0,0,100,0,182,68,69,45,0.37362637362637363,0.3791208791208791,0.24725274725274726,166,59,0.35542168674698793
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32800.pt,*checkpoint_iter_mixed_iter_32800.pt,32800,cpu,8.166491630921705,100,0,0,0,0,100,0,180,86,61,33,0.4777777777777778,0.3388888888888889,0.18333333333333332,150,76,0.5066666666666667,31.049655678855967,100,0,0,0,0,100,0,175,72,69,34,0.4114285714285714,0.3942857142857143,0.19428571428571428,157,63,0.4012738853503185
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_32900.pt,*checkpoint_iter_mixed_iter_32900.pt,32900,cpu,6.879228104009444,100,0,0,0,0,100,0,180,85,59,36,0.4722222222222222,0.3277777777777778,0.2,150,75,0.5,28.147941447320775,100,0,0,0,0,100,0,180,72,73,35,0.4,0.40555555555555556,0.19444444444444445,161,62,0.38509316770186336
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33000.pt,*checkpoint_iter_mixed_iter_33000.pt,33000,cpu,14.215526447910959,100,0,0,0,0,100,0,180,76,60,44,0.4222222222222222,0.3333333333333333,0.24444444444444444,149,69,0.46308724832214765,12.361904435005226,100,0,0,0,0,100,0,176,72,68,36,0.4090909090909091,0.38636363636363635,0.20454545454545456,157,62,0.39490445859872614
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33100.pt,*checkpoint_iter_mixed_iter_33100.pt,33100,cpu,17.457300596131162,100,0,0,0,0,100,0,180,77,55,48,0.42777777777777776,0.3055555555555556,0.26666666666666666,152,69,0.45394736842105265,20.567318224591258,100,0,0,0,0,100,0,172,66,63,43,0.38372093023255816,0.36627906976744184,0.25,153,58,0.3790849673202614
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33200.pt,*checkpoint_iter_mixed_iter_33200.pt,33200,cpu,-35.155239118800246,100,0,0,0,0,100,0,181,74,58,49,0.4088397790055249,0.32044198895027626,0.27071823204419887,150,61,0.4066666666666667,32.41122197818422,100,0,0,0,0,100,0,158,62,57,39,0.3924050632911392,0.36075949367088606,0.2468354430379747,148,59,0.39864864864864863
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33300.pt,*checkpoint_iter_mixed_iter_33300.pt,33300,cpu,-38.60488867824632,100,0,0,0,0,100,0,190,70,69,51,0.3684210526315789,0.3631578947368421,0.26842105263157895,162,58,0.35802469135802467,28.98819084855204,100,0,0,0,0,100,0,163,66,58,39,0.4049079754601227,0.3558282208588957,0.2392638036809816,156,63,0.40384615384615385
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33400.pt,*checkpoint_iter_mixed_iter_33400.pt,33400,cpu,-32.139777820884845,100,0,0,0,0,100,0,190,71,68,51,0.3736842105263158,0.35789473684210527,0.26842105263157895,162,60,0.37037037037037035,20.703408233296884,100,0,0,0,0,100,0,161,69,53,39,0.42857142857142855,0.32919254658385094,0.2422360248447205,158,67,0.4240506329113924
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33500.pt,*checkpoint_iter_mixed_iter_33500.pt,33500,cpu,-12.837969468362164,100,0,0,0,0,100,0,189,69,71,49,0.36507936507936506,0.37566137566137564,0.25925925925925924,158,57,0.36075949367088606,23.379413871843504,100,0,0,0,0,100,0,162,68,53,41,0.41975308641975306,0.3271604938271605,0.25308641975308643,158,66,0.4177215189873418
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33600.pt,*checkpoint_iter_mixed_iter_33600.pt,33600,cpu,-10.946088055524742,100,0,0,0,0,100,0,189,70,70,49,0.37037037037037035,0.37037037037037035,0.25925925925925924,158,58,0.3670886075949367,24.21387052322703,100,0,0,0,0,100,0,159,68,51,40,0.4276729559748428,0.32075471698113206,0.25157232704402516,154,67,0.43506493506493504
/Users/Jesse/Documents/csShi/goated-poker-ai-physical-implementation/models/standard/6_player/checkpoint_mixed/*checkpoint_iter_mixed_iter_33700.pt,*checkpoint_iter_mixed_iter_33700.pt,33700,cpu,-17.49732037405811,100,0,0,0,0,100,0,190,69,71,50,0.3631578947368421,0.3736842105263158,0.2631578947368421,162,58,0.35802469135802467,29.419205527240866,100,0,0,0,0,100,0,164,66,55,43,0.4024390243902439,0.3353658536585366,0.2621951219512195,157,64,0.40764331210191085
